"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","Values(Rs. Cr.)","BROADCAST DATE"
"Kothari Petrochemicals Limited","58846400","41772005","    70.98","17074395","0","     0.00","     0.00","0","12-Jun-2024 11:30:20","1311772","57770029","2.27","16.036","12-Jun-2024 11:30:20"
"Kothari Products Limited","29843865","22380155","    74.99","7463710","0","     0.00","     0.00","0","12-Jun-2024 11:30:21","225378","29747063","0.76","2.593","12-Jun-2024 11:30:21"
"Kothari Sugars And Chemicals Limited","82888580","60947600","    73.53","21940980","0","     0.00","     0.00","0","12-Jun-2024 11:30:26","1282126","82843200","1.55","6.597","12-Jun-2024 11:30:26"
"Kovai Medical Center & Hospital Limited","10942262","5472940","    50.02","5469322","0","     0.00","     0.00",,"12-Jun-2024 11:30:35","56445","1394987","4.05",,"12-Jun-2024 11:30:35"
"Krebs Biochemicals and Industries Limited","21560586","15684134","    72.74","5876452","0","     0.00","     0.00","0","12-Jun-2024 11:30:13","480341","21106055","2.28","2.952","12-Jun-2024 11:30:13"
"Kridhan Infra Limited","94779205","44691160","    47.15","50088045","0","     0.00","     0.00",,"12-Jun-2024 11:30:40","1827117","94714180","1.93",,"12-Jun-2024 11:30:40"
"Krishana Phoschem Limited","61827600","43903040","    71.01","17924560","1000","     0.00","     0.00","0.024","12-Jun-2024 11:30:40","922871","61827600","1.49","22.523","12-Jun-2024 11:30:40"
"Krishna Institute of Medical Sciences Limited","80027787","31066304","    38.82","48961483","5002438","    16.10","     6.25","1030.127","12-Jun-2024 11:30:42","7276483","79992622","9.1","1498.41","12-Jun-2024 11:30:42"
"Ksb Limited","34807844","23214306","    66.69","11593538","0","     0.00","     0.00","0","12-Jun-2024 11:30:17","654607","34596086","1.89","252.41","12-Jun-2024 11:30:17"
"Kshitij Polyline Limited","50652330","0","     0.00","50652330","0",,"     0.00",,"12-Jun-2024 11:30:41","336004","50652330","0.66",,"12-Jun-2024 11:30:41"
"Kuantum Papers Limited","87263630","61350690","    70.30","25912940","0","     0.00","     0.00","0","12-Jun-2024 11:30:41","2592668","86608970","2.99","40.057","12-Jun-2024 11:30:41"
"L&T Finance Limited","2488940310","1639230125","    65.86","849710185","0","     0.00","     0.00","0","12-Jun-2024 11:30:37","72385868","2489822036","2.91","1145.506","12-Jun-2024 11:30:37"
"LCC Infotech Limited","126593350","58033582","    45.84","68559768","0","     0.00","     0.00",,"12-Jun-2024 11:30:23","755928","124779494","0.61",,"12-Jun-2024 11:30:23"
"LEEL Electricals Limited","40332260","16982801","    42.11","23349459","84411","     0.50","     0.21",,"12-Jun-2024 11:30:20","716324","40119190","1.79",,"12-Jun-2024 11:30:20"
"LG Balakrishnan & Bros Limited","31392416","10592876","    33.74","20799540","0","     0.00","     0.00","0","12-Jun-2024 11:30:35","1593998","30904404","5.16","202.581","12-Jun-2024 11:30:35"
"LGB Forge Limited","238202463","175776096","    73.79","62426367","0","     0.00","     0.00","0","12-Jun-2024 11:30:34","2020108","236323289","0.85","1.798","12-Jun-2024 11:30:34"
"LIC Housing Finance Limited","550063000","248842495","    45.24","301220505","0","     0.00","     0.00","0","12-Jun-2024 11:30:16","9076913","548096114","1.66","554.554","12-Jun-2024 11:30:16"
"LLOYDS ENGINEERING WORKS LIMITED","1144629492","657560695","    57.45","487068797","0","     0.00","     0.00","0","12-Jun-2024 11:30:40","46676578","1136864109","4.11","228.949","12-Jun-2024 11:30:40"
"LT Foods Limited","347252944","177104802","    51.00","170148142","0","     0.00","     0.00","0","12-Jun-2024 11:30:30","20971705","346492522","6.05","393.534","12-Jun-2024 11:30:30"
"La Opala RG Limited","111000000","72865000","    65.64","38135000","0","     0.00","     0.00","0","12-Jun-2024 11:30:31","1408338","110760947","1.27","41.947","12-Jun-2024 11:30:31"
"Lagnam Spintex Limited","17669000","12103000","    68.50","5566000","5829000","    48.16","    32.99",,"12-Jun-2024 11:30:41","6353903","17669000","35.96",,"12-Jun-2024 11:30:41"
"Lakshmi Energy and Foods Limited","73630000","39319058","    53.40","34310942",,,,,"12-Jun-2024 11:30:31","2223412","68788712","3.23",,"12-Jun-2024 11:30:31"
"Lakshmi Finance & Industrial Corporation Limited","3000000","1410102","    47.00","1589898","0","     0.00","     0.00",,"12-Jun-2024 11:30:39","15806","2442023","0.65",,"12-Jun-2024 11:30:39"
"Lakshmi Machine Works Limited","10683000","3325108","    31.13","7357892",,,,,"12-Jun-2024 11:30:05","697401","10650208","6.55","1059.513","12-Jun-2024 11:30:05"
"Lakshmi Precision Screws Limited","10941667","6877078","    62.85","4064589","0","     0.00","     0.00",,"12-Jun-2024 11:30:30","102605","10651386","0.96",,"12-Jun-2024 11:30:30"
"Lambodhara Textiles Limited","10377600","7593283","    73.17","2784317","2982506","    39.28","    28.74","40.95","12-Jun-2024 11:30:39","3257874","10269200","31.72","44.731","12-Jun-2024 11:30:39"
"Landmark Property Development Company Limited","134143160","87007521","    64.86","47135639","0","     0.00","     0.00","0","12-Jun-2024 11:30:34","537594","132949459","0.4","0.427","12-Jun-2024 11:30:34"
