"SYMBOL","COMPANY","NAME(S) OF THE ACQUIRER AND ITS (PAC)","DATE OF ACQUISITION / SALE OF SHARES / VR / DATE OF RECEIPT OF INTIMATION OF","TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT)","TOTAL SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","TOTAL AFTER ACQUISITION/SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","REGULATION","BROADCAST DATE/ TIME","DISSEMINATION","DIFFERENCE"
"NAZARA","Nazara Technologies Limited","Plutus Wealth Management LLP alongwith PAC","02-MAY-2024 to 27-MAY-2024","5604408",,"10107580","Reg29(2)","06-Jun-2024, 14-43","06-Jun-2024 14:44","00:00:17"
"HEADSUP","Heads UP Ventures Limited","Mahan Synthetic Textile Private Ltd","28-MAY-2024 to 28-MAY-2024",,"50000","948522","Reg29(2)","06-Jun-2024, 14-40","06-Jun-2024 14:42","00:01:22"
"YASHO","Yasho Industries Limited","Yayesh Vinod Jhaveri","30-MAY-2024 to 30-MAY-2024",,"0","8198190","Reg29(2)","06-Jun-2024, 14-36","06-Jun-2024 14:38","00:01:18"
"DIACABS","Diamond Power Infrastructure Limited","Monarch Infraparks Private Ltd","30-MAY-2024 to 30-MAY-2024",,"1286302","5713698","Reg29(2)","06-Jun-2024, 14-31","06-Jun-2024 14:32","00:01:04"
"GODHA","Godha Cabcon & Insulation Limited","Madhu Devi Godha","31-MAY-2024 to 31-MAY-2024",,"26063477","22183674","Reg29(2)","06-Jun-2024, 13-02","06-Jun-2024 13:04","00:01:22"
"YASHO","Yasho Industries Limited","Dishit Jhaveri","30-MAY-2024 to 30-MAY-2024","0",,"8198190","Reg29(2)","06-Jun-2024, 13-01","06-Jun-2024 13:02","00:00:23"
"POLYPLEX","Polyplex Corporation Limited","Secure Investments Limited","30-MAY-2024 to 31-MAY-2024","1402202",,"6937946","Reg29(2)","06-Jun-2024, 13-00","06-Jun-2024 13:02","00:01:18"
"LOKESHMACH","Lokesh Machines Limited","Mullapudi Lokeswara Rao","30-MAY-2024 to 30-MAY-2024",,"27352","820512","Reg29(2)","06-Jun-2024, 12-57","06-Jun-2024 12:58","00:01:02"
"KAYA","Kaya Limited","Equity Intelligence India Pvt Ltd","29-MAY-2024 to 29-MAY-2024",,"20385","1425871","Reg29(2)","06-Jun-2024, 12-55","06-Jun-2024 12:56","00:00:42"
"SHUBHLAXMI","Shubhlaxmi Jewel Art Limited","Soham Narendrasinh Chauhan","31-MAY-2024 to 31-MAY-2024",,"54000","1224000","Reg29(2)","06-Jun-2024, 12-51","06-Jun-2024 12:52","00:00:59"
